id,question,answer,createdAt,updatedAt
24,AI Factory indirimi var mı?,AI Factory topluluğunda paylaşılan otomasyonlar Dolunay'ın aylarca üzerine emek harcadığı ve ticarileştirdiği otomasyonlardır ve kendisi topluluktaki üyelere birebir yardımcı olmaktadır. Bu sebeplerden ötürü topluluk fiyatlandırması sabittir ve indirim bulunmamaktadır. Sadece yıllık kayıt olan üyelere %61 indirim mevcuttur.,2025-12-27T15:23:08.079Z,2025-12-27T15:24:39.639Z
25,AI Factory'ye katıldığım için gelir elde edebilir miyim?,AI Factory içerisinde Dolunay'ın gelire çevirdiği pek çok otomasyon bulunmaktadır. Eğitimlerde her sektörde nasıl gelir elde edildiği tüm detaylarıyla açıklanmıştır. Eğer gerekli özveriyi gösterip yeterli eforu sarf ederseniz sizler de benzer başarıları elde edebilirsiniz. Fakat yeterli çabayı göstermeyen kişilerin başarılı olması garanti edilemez.,2025-12-27T15:25:03.549Z,2025-12-27T15:27:35.185Z
26,Neden aylık ücretlendiriliyor?,AI Factory topluluğu tek seferlik bir eğitim değildir. Yeni otomasyonlar ve eğitimler topluluğa düzenli olarak eklenmektedir. Aynı zamanda Dolunay üyelerle bizzat ilgilenmektedir. Bu hizmetin sürdürülebilmesi için abonelik modeli uygulanmaktadır. Yıllık ödemelerde %61 ündirim mevcuttur.,2025-12-27T15:27:50.921Z,2025-12-27T15:30:22.177Z
27,Ödeme yöntemleri nelerdir?,Desteklenen ödeme yöntemi kredi kartıdır. Havale geçerli değildir.,2025-12-27T15:31:01.151Z,2025-12-27T15:31:32.938Z
28,Topluluğa katıldıktan sonra ek bir ücret ödeyecek miyim?,"AI Factory topluluğuna katıldığınızda bütün eğitimlere ve otomasyonlara anında erişebilirsiniz. 

Buna ek olarak kullandığımız otomasyon yazılımı n8n, yapay zeka altta yapısı ChatGPT ve benzeri yapay zeka alt yapılarına çeşitli ödemeler yapmaktayız. Başlangıç aşamasında bu tür benzeri altyapı masraflarınızın aylık 15 doları geçmeyeceğini öngörmekteyiz.",2025-12-27T15:38:28.931Z,2025-12-27T15:40:11.103Z
29,YouTube Otomasyonu Başarı hikayeleri,"Bugüne kadar onlarca üyemiz kendi YouTube otomasyonlarını kurdu ve kanallarını tam otomatik şekilde çalıştırmaya başladı. Üyelerimizin ortalama YouTube Shorts izlenmeleri 10 ila 20 bin civarındadır. Fakat Murat gibi milyonlarca izlenen üyelerimiz de mevcuttur. Topluluğa katıldığınızda ""Başarılar"" bölümünden üyelerimizin başarılarına göz atabilirsiniz.

",2025-12-27T15:47:12.880Z,2025-12-27T15:53:17.622Z
30,Hotel Otomasyonu Başarı hikayeleri,"Bir çok üyemiz bizim otelcilere aylık 1000 dolara sattığımız otomasyonu instagramdan çok fazla mesaj alan işletmecilere sattılar. Örneğin üyemiz Rustam bir Kung Fu hocasına bu otomasyonu uyarladı ve artık Kung Fu hocasının bütün instagram mesajları otomatik olarak yanıtlanıyor. Veya bir diğer üyemiz Ziya, otel otomasyonunu bir otelciye uyarlayarak otelin WhatsApp ve Instagram mesajlarını tam otomatik hale getirdi.",2025-12-27T15:49:31.287Z,2025-12-27T15:51:35.740Z
31,E-Ticaret Otomasyonu Başarı hikayeleri,"Üyemiz Emil, bizim e-ticaret otomasyonumuzu kullanarak kendi markası için tam otomatik reklam videoları üretiyor ve otomatik olarak paylaşıyor.

Üyemiş Savaş, bizim e-ticaret otomasyonumuzu bir Print On Demand mağazasına sattı. Ve artık mağazaya yüklenen bütün ürünlerin görselleri otomatik olarak oluşturuluyor.",2025-12-27T15:51:36.747Z,2025-12-27T15:52:50.572Z
32,Süpermarket Otomasyonu Başarı hikayeleri,"Dolunay'ın kendi süpermarket sektöründe faaliyet gösteren müşterisine 4000 dolara sattığı otomasyonu, AI Factory üyesi Eren benzer bir müşteriye $X.XXX dolar fiyata sattı. Kendisi gizlilik sebeplerinden ötürü tam rakam paylaşmamayı tercih etti.",2025-12-27T15:53:27.943Z,2025-12-27T15:54:13.811Z
33,Influencer Otomasyonu Başarı hikayeleri,"Bu otomasyonun en büyük başarısı bizzat otomasyonun oluşturucusu Dolunay'a aittir. Kendisi bir influencer olarak 1,5 yılda 150 bin gerçek takipçi kazandı. Ve onlarca marka ile ücretli iş birliği gerçekleştirdi.",2025-12-27T15:54:18.106Z,2025-12-27T15:55:00.271Z
34,Birden fazla YouTube kanalı oluşturup aynı sisteme bağlayabilir miyim?,"Evet, istediğiniz kadar farklı kanal oluşturup her kanala farklı konseptlerde içerik üreten otomasyon bağlayabilirsiniz. Her kanal için ayrı otomasyon kurulumu yapılır.",2026-02-05T12:16:25.006Z,2026-02-05T12:16:42.247Z
35,Birden fazla kanal için maliyet nasıl hesaplanır?,"Her kanal için ayrı API maliyeti oluşur. Temel maliyet, yapay zeka video modellerine ödenen ücrettir. Ne kadar fazla ve uzun video üretirseniz, o kadar fazla maliyet oluşur. Örneğin 3 kanal çalıştırıyorsanız, 3 kat maliyet bekleyebilirsiniz.",2026-02-05T12:16:43.459Z,2026-02-05T12:16:53.272Z
36,meltem.ile.yoga hesabını siz mi yönetiyorsunuz?,"Evet, meltem.ile.yoga hesabı Dolunay Özeren'e aittir. Bu hesap, hiç insan müdahalesi olmadan tamamen otomatik şekilde içerik üreten ve takipçilerle mesajlaşan bir AI Influencer sistemin mümkün olduğunu göstermek için tasarlanmıştır. Hesap şu anda tam otomatik şekilde düzenli olarak takipçi kazanıyor ve izlenme alıyor.",2026-02-05T12:16:56.842Z,2026-02-05T12:17:09.121Z
37,Üyelik iptal edildikten sonra eğitim videoları ve otomasyonlar bizde kalıyor mu?,"Üyelik iptal edildikten sonra eğitim videolarına erişiminiz kesilir. Fakat otomasyon kurulumunu yaptıysanız, otomasyon sizde kalır ve çalışmaya devam eder. Bunun sebebi n8n hesabınızın (otomasyonları kurduğumuz platform) size ait olmasıdır.",2026-02-05T12:17:10.660Z,2026-02-05T12:17:56.311Z
38,Eğitim ne kadar sürede alınıyor? Sisteme ne zaman sahip olabilirim?,"AI Factory topluluğuna katıldığınız anda eğitimleri izlemeye başlayabilirsiniz. Temel eğitim olan ""Sıfırdan n8n Uzmanlığı"" yaklaşık 2 saat sürer. Sadece temel kısmını öğrenmek isterseniz 1 saat yeterlidir. Ardından istediğiniz otomasyonun kurulumuna geçebilirsiniz. Kurduğunuz otomasyon kalıcıdır ve süresiz çalışır.",2026-02-05T12:17:57.521Z,2026-02-05T12:18:18.429Z
39,Online eğitim kalıcı mı yoksa her ay mı almam gerekiyor?,"Eğitimlere erişim üyelik devam ettikçe sağlanır. Fakat otomasyonu bir kere kendi sunucunuza kurduğunuzda, üyeliğinizi iptal etseniz dahi otomasyon sizin yerinize çalışmaya devam eder.",2026-02-05T12:18:19.179Z,2026-02-05T12:18:34.332Z
40,YouTube otomasyonu ile kaç dakikalık video yapabilirim?,"YouTube otomasyonunda video uzunluğunu siz belirlersiniz, minimum süre sınırı yoktur. Fakat günümüz yapay zeka araçları ve modelleri 10 dakikanın üzerindeki videoları kaliteli şekilde üretememektedir. Bu nedenle daha kısa videolar yapılması önerilir.",2026-02-05T12:18:36.424Z,2026-02-05T12:18:55.226Z
41,YouTube otomasyonu için hangi yapay zeka araçlarını satın almam gerekiyor?,"Doğrudan yapay zeka araçlarını değil, kendi API'larını kullanıyoruz. Bu da kullanım başına ödeme yaptığımız anlamına gelir. Videoları hangi yapay zeka modelinden üretmek istiyorsanız, o modele kullanım başına ödeme yaparsınız. Kabaca hesaplamak isterseniz, saniye başına yaklaşık 1 cent civarında bir maliyet çıkacaktır.",2026-02-05T12:18:56.440Z,2026-02-05T12:19:21.257Z
42,Birebir destek alma imkanı var mı?,"Dolunay, Premium üyelerle Skool platformu üzerinden sınırsız yazılı soru-cevap yapmaktadır. Yazılı veya ekran videoları aracılığıyla otomasyonlarda veya farklı konularda yaşanan problemleri çözmektedir. VIP üyelerle ise ek olarak ayda bir canlı görüşme yapmaktadır.",2026-02-05T12:19:24.067Z,2026-02-05T12:19:38.178Z
43,Üyelikten nasıl çıkarım? Üyeliğimi nasıl iptal ederim?,"Üyeliğinizi istediğiniz zaman iptal edebilirsiniz, sürdürme zorunluluğu yoktur. Şu linkten paketinizi değiştirebilir veya üyeliğinizi iptal edebilirsiniz: https://www.skool.com/settings?t=communities",2026-02-05T12:19:43.127Z,2026-02-05T12:19:52.925Z
